,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
2552,19544387,0.40948910257692306,0.5721211538461537,0.011985897423076923,0.46936794869230763,Charming 2BR in Downtown Crossing by Sonder,42.35694847429646,-71.06064646451766,91.0,Downtown,2.680373990772659,1.389139036456317,1.3083855602631138,0.5463652630771689,4.321399139909636
524,4602191,0.40925,0.5839104937777777,0.006839506222222222,0.5388722222222222,Stunning Apartment on Charles River,42.3641571120472,-71.06811908941427,93.0,West End,2.9970089628474983,1.4598481876073628,1.3865260320308468,0.99139580786619,3.7940179713415345
2615,19823907,0.4091184778620689,0.5695212992413793,0.015623441310344828,0.45928707679310354,Charming 4BR in Downtown Crossing by Sonder,42.356281548295975,-71.06131445864557,91.0,Downtown,2.724232222685774,1.3362124069239723,1.255498647008449,0.48984729548769734,4.307247746186556
1684,14572499,0.4090940886551724,0.5718541872068965,0.010448275862068965,0.5193596387586207,Stylish One Bedroom in Boston Brownstone,42.353351512307704,-71.07813880629458,94.0,Back Bay,3.608941763063329,0.55506273224249,0.48363262464426365,0.686359014182346,3.62784048503355
1372,12599820,0.4090833333333333,0.5909166666666666,0.0,0.261075,North End Furnished Condo!,42.36555488748691,-71.05452259028152,100.0,North End,2.299381028367587,1.995232176296159,1.9154530032456363,1.218027121489431,4.4406061721523225
3589,23780136,0.4090426870571429,0.5718781292571429,0.010249931999999998,0.5063678968285714,Adam's Village/Cedar Grove Boston,42.28123306567189,-71.05391186108379,99.0,Dorchester,6.249819900025442,4.759776097959897,4.779401986594064,4.778254926841089,8.109037336383357
3783,24798737,0.4088721763030303,0.5805328742121213,0.010597474727272727,0.5351296556363636,"""It's A Sleepover"" Double Bed",42.29750714126832,-71.07883938298998,95.0,Dorchester,5.887506406136462,3.392393237504218,3.431125349745524,3.681044072361568,6.492910143141968
1667,14473564,0.4086875238000001,0.5778924762,0.013420000000000001,0.5525597142800001,Central 2BR in Lower Allston by Sonder,42.362750082466015,-71.1297622550589,92.0,Allston,6.153829261822996,2.603867039171453,2.647670890098195,3.4041059842293655,1.3015116571340835
4014,26428487,0.4085555556666667,0.5914444443333333,0.0,0.25337777766666664,Nice location in East Boston close to airport,42.39017958682616,-71.00721203915211,100.0,East Boston,1.7009352709717007,4.946642536922979,4.866204390017758,4.079070884514441,6.776183875178074
4881,31397068,0.4085,0.5915,0.0,0.762475,"Cozy, Quirky Four Bedroom Jamaica Plain Apartment",42.32179017096179,-71.10963454994405,100.0,Jamaica Plain,5.948049915039978,2.1578088967613334,2.2339434050418245,2.977386322269156,4.310443651688428
