,host_response_time,host_response_rate,host_is_superhost,host_verification_level,neighbourhood_cleansed,host_identity_verified,is_location_exact,instant_bookable,property_type,room_type,bed_type,Wifi,Heating,Essentials,Smoke detector,Kitchen,Carbon monoxide detector,Hangers,Air conditioning,Shampoo,Hair dryer,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy,reviews_per_month
108,3.0,100.0,0,4.0,Beacon Hill,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,False,True,True,True,True,True,195.0,0.0,100.0,50.0,14.0,93.0,8.0,10.0,10.0,10.0,strict_14_with_grace_period,0.25
109,1.0,100.0,0,5.0,South End,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,250.0,500.0,100.0,50.0,59.0,96.0,9.0,10.0,10.0,10.0,moderate,0.72
110,1.0,100.0,1,4.0,Jamaica Plain,1,1,0,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,71.0,0.0,0.0,0.0,278.0,96.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,3.44
111,1.0,99.0,0,4.0,Back Bay,0,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,150.0,500.0,130.0,50.0,60.0,89.0,9.0,10.0,9.0,10.0,strict_14_with_grace_period,1.72
112,3.0,100.0,0,8.0,Bay Village,0,1,1,Townhouse,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,500.0,1000.0,250.0,0.0,11.0,96.0,9.0,10.0,10.0,10.0,strict_14_with_grace_period,0.38
115,1.0,100.0,1,5.0,Downtown,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,299.0,300.0,100.0,60.0,299.0,95.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,5.34
118,1.0,100.0,0,5.0,South End,1,1,1,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,148.0,0.0,24.0,15.0,163.0,90.0,8.0,10.0,9.0,10.0,moderate,2.01
119,1.0,100.0,0,6.0,Dorchester,1,1,1,Townhouse,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,False,True,175.0,100.0,175.0,10.0,59.0,89.0,9.0,10.0,9.0,9.0,strict_14_with_grace_period,0.78
120,1.0,100.0,0,6.0,Dorchester,1,1,1,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,True,True,True,125.0,100.0,90.0,12.0,51.0,91.0,10.0,9.0,9.0,9.0,strict_14_with_grace_period,0.87
121,1.0,100.0,0,4.0,Dorchester,1,1,1,Apartment,Entire home/apt,Real Bed,True,True,True,False,True,False,False,True,True,False,115.0,100.0,60.0,15.0,278.0,88.0,9.0,10.0,10.0,9.0,moderate,3.48
122,1.0,100.0,0,6.0,Dorchester,1,1,1,Serviced apartment,Entire home/apt,Real Bed,True,True,True,False,True,False,False,True,False,False,142.0,100.0,120.0,10.0,42.0,88.0,9.0,9.0,9.0,9.0,strict_14_with_grace_period,0.53
123,1.0,100.0,1,9.0,Jamaica Plain,1,1,0,House,Private room,Real Bed,True,True,True,True,True,True,True,True,True,True,110.0,0.0,0.0,50.0,231.0,98.0,10.0,10.0,10.0,10.0,strict_14_with_grace_period,2.89
124,1.0,100.0,1,5.0,Dorchester,1,1,0,Townhouse,Private room,Real Bed,True,True,True,True,False,True,False,True,False,False,110.0,100.0,75.0,25.0,89.0,97.0,10.0,10.0,10.0,9.0,moderate,1.34
125,1.0,100.0,0,6.0,Dorchester,1,1,1,Serviced apartment,Entire home/apt,Real Bed,True,True,True,True,True,True,True,False,True,True,125.0,100.0,90.0,12.0,42.0,91.0,9.0,9.0,9.0,9.0,strict_14_with_grace_period,0.53
127,1.0,100.0,0,8.0,South End,1,1,0,Apartment,Entire home/apt,Real Bed,True,True,True,True,False,True,True,True,True,True,210.0,500.0,80.0,100.0,33.0,94.0,9.0,9.0,10.0,9.0,strict_14_with_grace_period,0.6
128,1.0,100.0,0,6.0,West Roxbury,1,1,0,Serviced apartment,Entire home/apt,Real Bed,True,False,False,True,False,True,False,True,True,True,125.0,100.0,125.0,12.0,31.0,92.0,10.0,9.0,9.0,9.0,strict_14_with_grace_period,1.38
